Commentaires,Commentaires nets
Spectrum,spectrum
NOOO,nooo
Pit,pit
wow,wow
Nice,nice
PIT,pit
Hi,hi
Vimanas,vimana
J,j
Bobnvagene,bobnvagen
Jesus,jesu
BRASIL,brasil
spacebowls,spacebowl
Toasty,toasti
nice,nice
Brainwash,brainwash
J,j
Hakefa,hakefa
WOW,wow
Pit,pit
Pit,pit
pit,pit
Captivating,captiv
Genius,geniu
Pit,pit
Mushrooms,mushroom
美国窦文涛,美国窦文涛
Nerd,nerd
Z,z
Pit,pit
Riviting,rivit
Greatness,great
Hi,hi
Pit,pit
Pit,pit
Omega,omega
Nice,nice
A,
LOSERRRRR,loserrrrr
PIT,pit
trees,tree
Brad,brad
Eyes,eye
Beautiful,beauti
iconic,icon
Df,df
BOOO,booo
Wow,wow
跳梁小丑,跳梁小丑
Pit,pit
Pit,pit
PIT,pit
pit,pit
tangibility,tangibl
Afffmlluc,afffmlluc
Laconic,lacon
PiT,pit
Smart,smart
fuck,fuck
Nice,nice
pit,pit
pit,pit
Magnet,magnet
Pit,pit
BORING,bore
morty,morti
Obsolete,obsolet
Magnate,magnat
nice,nice
pit,pit
Gayyyyyyyyy,gayyyyyyyyy
Paperclip,paperclip
Paperclip,paperclip
Paperclip,paperclip
Paperclip,paperclip
Yes,ye
Pit,pit
Pit,pit
l,l
Singularity,singular
LOL,lol
Pit,pit
Poo,poo
pit,pit
Wakooo,wakooo
Nice,nice
boring,bore
pit,pit
Pit,pit
Nice,nice
hahaha,hahaha
lies,lie
puppet,puppet
yeah,yeah
Musk,musk
Memelord,memelord
PIT,pit
Yes,ye
amazing,amaz
ccupy,ccupi
Inception,incept
ㅋ,ㅋ
Watched,watch
g,g
yes,ye
Hi,hi
foul,foul
respect,respect
true,true
CYBERTRUCK,cybertruck
Enlightened,enlighten
Ultron,ultron
yes,ye
Damn,damn
pit,pit
CHARLATAN,charlatan
Wow,wow
Yes,ye
Wtf,wtf
Bud,bud
Nice,nice
H,h
nigga,nigga
Allday,allday
Gforce,gforc
Pit,pit
Deceivers,deceiv
Bra,bra
Where,
Okay,okay
Lol,lol
Ichthyocentaurus,ichthyocentauru
flashgitz,flashgitz
Pit,pit
Nice,nice
interesting,interest
Edit,edit
pit,pit
Occupy,occupi
HAHAHAHA,hahahaha
Upgrade,upgrad
Exciting,excit
pit,pit
oprah,oprah
please,plea
yw,yw
lies,lie
please,plea
NOW,
duh,duh
PIT,pit
gracias,gracia
Bullshit,bullshit
O,
日本語字幕がほしいーーー,日本語字幕がほしいーーー
Yes,ye
Last,last
tahaha,tahaha
Hahahah,hahahah
pitpitpitpitpitpitpitpitpitpitpitpitpitpitpit,pitpitpitpitpitpitpitpitpitpitpitpitpitpitpit
Yeet,yeet
ACAB,acab
magnate,magnat
pit,pit
Cool,cool
Storytime,storytim
Pit,pit
Xoxoxo,xoxoxo
Joe,joe
Yee,yee
Wow,wow
HEAVY,heavi
Pit,pit
HAHA,haha
REEEEEEEEEEEEEE,reeeeeeeeeeeeee
Freak,freak
HELP,help
有中文字幕嗎,有中文字幕嗎
Pits,pit
الدحيح,الدحيح
lucky,lucki
Pit,pit
Yess,yes
Wow,wow
tman,tman
man,man
Iconic,icon
Ahhhtaahahatahataa,ahhhtaahahatahataa
Nice,nice
Pit,pit
pit,pit
Hahaha,hahaha
Genius,geniu
K,k
Gayyyyyyy,gayyyyyyy
pit,pit
HAHAHA,hahaha
loop,loop
Yeet,yeet
Yes,ye
magnate,magnat
Pit,pit
Pit,pit
Pit,pit
Pit,pit
Pit,pit
Bottleneck,bottleneck
Beautifull,beautiful
Depressing,depress
SIMS,sim
Pit,pit
Pit,pit
Pit,pit
YEET,yeet
ELectrONic,electron
intense,intens
yes,ye
jamarsica,jamarsica
WTF,wtf
Magnate,magnat
Cx,cx
pit,pit
PITT,pitt
BOTTLENECK,bottleneck
nerddddddddd,nerddddddddd
ASMR,asmr
Best,best
Stupid,stupid
Mistake,mistak
Pit,pit
Haha,haha
HAhaha,hahaha
Bah,bah
bruh,bruh
Amixem,amixem
Autism,autism
Haha,haha
LEGENDARY,legendari
rhinohater,rhinohat
Hahaha,hahaha
Weed,weed
pit,pit
lit,lit
Legendary,legendari
Kazakhstan,kazakhstan
Dope,dope
TMAU,tmau
TMAU,tmau
BOTTLENECK,bottleneck
weed,weed
History,histori
asshole,asshol
Disapointed,disapoint
Pit,pit
pit,pit
草,草
Th,th
Magnet,magnet
Fantastic,fantast
Woahwoahwewow,woahwoahwewow
Masterpiece,masterpiec
legend,legend
dope,dope
yes,ye
yes,ye
Pit,pit
lol,lol
This,
PIT,pit
Yes,ye
ELON,elon
pit,pit
Rashel,rashel
rip,rip
pit,pit
mezmerising,mezmeris
Deep,deep
Wtf,wtf
Genius,geniu
Yeehhhsss,yeehhhsss
Clone,clone
Pit,pit
yes,ye
Brilliant,brilliant
Oh,oh
magnate,magnat
pit,pit
subtitleee,subtitlee
Am,
Muskelon,muskelon
Great,great
Yes,ye
Jo,jo
ok,ok
Nyes,nye
iconic,icon
LOL,lol
Paedo,paedo
nice,nice
Brilliant,brilliant
請問有中文翻譯告訴我大概在講什麼嗎,請問有中文翻譯告訴我大概在講什麼嗎
awesome,awesom
yes,ye
Anubis,anubi
Idols,idol
weed,weed
beautiful,beauti
YES,ye
MUSKEGLADON,muskegladon
Awesome,awesom
Coooooooool,coooooooool
beautiful,beauti
JD,jd
HaHaHa,hahaha
Respect,respect
f,f
Wow,wow
Pit,pit
Radical,radic
H,h
PIT,pit
sweet,sweet
jesus,jesu
LOVE,love
lit,lit
genius,geniu
Mindblowing,mindblow
Historic,histor
Bottleneck,bottleneck
pit,pit
Wtf,wtf
dugthisbigpit,dugthisbigpit
dude,dude
誰か字幕つけてくれー,誰か字幕つけてくれー
When,
Beautiful,beauti
Sweet,sweet
Amazing,amaz
cyberpunkmusk,cyberpunkmusk
Magnate,magnat
emojis,emoji
sceptical,sceptic
Schmee,schmee
Copy,copi
Weed,weed
GOAT,goat
Wow,wow
genious,geniou
Pit,pit
Amazing,amaz
yeah,yeah
Mochandise,mochandis
wow,wow
Oooo,oooo
legend,legend
Bros,bro
Woah,woah
Gerbenikov,gerbenikov
Yuhhhhhhhhhhhhh,yuhhhhhhhhhhhhh
epic,epic
lad,lad
Gottem,gottem
Nice,nice
Hahaha,hahaha
Epic,epic
legendary,legendari
Yea,yea
Yea,yea
Finally,final
Whoaaaaa,whoaaaaa
again,
Antichrist,antichrist
danmn,danmn
Neuromancer,neuromanc
awesome,awesom
Epic,epic
Respect,respect
MULTIVAC,multivac
Hahaha,hahaha
Insecurities,insecur
News,news
Ayyy,ayyy
awesome,awesom
Dad,dad
yes,ye
Excellent,excel
Illuminati,illuminati
Awsome,awsom
Bottleneck,bottleneck
Pit,pit
Spacebowls,spacebowl
Skynet,skynet
PIT,pit
pit,pit
Magnate,magnat
Rockstar,rockstar
Wow,wow
awesome,awesom
wow,wow
Wow,wow
Transcendence,transcend
Legend,legend
YEET,yeet
nice,nice
Yeez,yeez
pit,pit
Awesomeness,awesom
PIT,pit
lol,lol
Awesome,awesom
Epic,epic
Awesome,awesom
Fascinating,fascin
Amazing,amaz
Epic,epic
BAQ,baq
MAGNET,magnet
Pit,pit
pit,pit
MAGNATE,magnat
amazing,amaz
BORING,bore
mAGNETO,magneto
Wow,wow
bottleneck,bottleneck
Yes,ye
Love,love
hahaha,hahaha
creepy,creepi
Elon,elon
Guvyiub,guvyiub
Hibuibukgyi,hibuibukgyi
poop,poop
Lol,lol
Epic,epic
Chakras,chakra
epic,epic
Magnate,magnat
Rip,rip
Beautiful,beauti
cool,cool
Dope,dope
AXIM,axim
Bottleneck,bottleneck
Pit,pit
amazing,amaz
Shills,shill
Weed,weed
Pit,pit
pit,pit
Whaaaaaaaattttt,whaaaaaaaattttt
Unreal,unreal
Texhnolyze,texhnolyz
Creepy,creepi
Boring,bore
freedom,freedom
interesting,interest
Amazing,amaz
AI,ai
NIRVANA,nirvana
Pit,pit
Bored,bore
Great,great
Pit,pit
Wow,wow
HORNY,horni
Nerd,nerd
Genius,geniu
whiskey,whiskey
pit,pit
Awesome,awesom
PIT,pit
Lol,lol
Deep,deep
Ran,ran
Amazing,amaz
iconic,icon
Disaster,disast
sweet,sweet
HISTORIC,histor
Lol,lol
Brilliant,brilliant
LSD,lsd
CCUPY,ccupi
Barewood,barewood
Amazing,amaz
Boring,bore
Amazing,amaz
Powerful,power
Pit,pit
CCUPY,ccupi
Iconic,icon
Awkward,awkward
Unexpected,unexpect
JRPP,jrpp
Assburgers,assburg
epic,epic
Cool,cool
First,first
awesome,awesom
Amen,amen
Haha,haha
Bonobos,bonobo
Pit,pit
Legendary,legendari
legendary,legendari
yes,ye
blackfly,blackfli
Brilliant,brilliant
Epic,epic
AWESOMEEEE,awesomeee
Bruh,bruh
Joker,joker
Elon,elon
history,histori
magnets,magnet
Yay,yay
HISTORY,histori
yes,ye
Facisnating,facisn
Pit,pit
WOW,wow
CCUPY,ccupi
fascinating,fascin
Pit,pit
kudos,kudo
GREAT,great
EPIC,epic
amazing,amaz
lol,lol
USER,user
Aspergers,asperg
Legendary,legendari
AWESOME,awesom
BORING,bore
amazing,amaz
Bravo,bravo
Fuck,fuck
toodee,toode
Wow,wow
YES,ye
Amazing,amaz
acab,acab
lol,lol
Legendary,legendari
whoa,whoa
nice,nice
Noice,noic
Relevant,relev
Cyborg,cyborg
Sincere,sincer
PIT,pit
hi,hi
Wow,wow
bottleneck,bottleneck
Amazing,amaz
Awesome,awesom
again,
Hahaha,hahaha
Pit,pit
kovix,kovix
Yeet,yeet
Legendary,legendari
legendary,legendari
Great,great
i,
Waooo,waooo
Legend,legend
ZZZZZZZZZZZZZZZZZZZZZZZZZZZ,zzzzzzzzzzzzzzzzzzzzzzzzzzz
FRAUDDDDDDDDDDDDDDD,frauddddddddddddddd
AHHHHH,ahhhhh
Lmao,lmao
OMGGGGGGGGGGGGGGGGGGGGG,omggggggggggggggggggggg
magnate,magnat
beast,beast
wow,wow
Legendary,legendari
Awesome,awesom
awesome,awesom
LEL,lel
Neat,neat
aspergers,asperg
Wtf,wtf
pit,pit
Cool,cool
yes,ye
Yes,ye
Yes,ye
Awesome,awesom
Awsome,awsom
PIT,pit
Madlad,madlad
Legend,legend
Magnate,magnat
Legendary,legendari
bored,bore
Best,best
Amazing,amaz
YUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUP,yuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuup
shhhiiiieeeeeettt,shhhiiiieeeeeettt
AWESOMENESS,awesom
historical,histor
wut,wut
Cx,cx
Iluminatti,iluminatti
Historic,histor
pit,pit
FINALLY,final
pit,pit
YYAAAASSSS,yyaaaassss
Pit,pit
Interesting,interest
Sickkkkk,sickkkkk
Yikes,yike
bottleNECK,bottleneck
iRobot,irobot
GOAT,goat
wow,wow
fuccccckk,fuccccckk
yooooooooo,yooooooooo
Whyyyyyy,whyyyyyy
OMG,omg
HYPE,hype
Inane,inan
Amazing,amaz
piT,pit
Boring,bore
Wow,wow
Legendary,legendari
Whaaaaat,whaaaaat
Fiiire,fiiir
Amazing,amaz
SKYNET,skynet
YOOOOOOOOOOOOO,yooooooooooooo
来自IT之家,来自it之家
Thanks,thank
Nerds,nerd
Nice,nice
YES,ye
Awesomeeeee,awesomeeee
Enlightened,enlighten
hi,hi
Wow,wow
Dangerous,danger
Aspergers,asperg
pit,pit
GOAT,goat
Dad,dad
Gay,gay
Nigeria,nigeria
Magnate,magnat
bullshit,bullshit
History,histori
wtf,wtf
Repulsine,repulsin
Pit,pit
Yaaaaassssss,yaaaaassssss
Yo,yo
TRIPPPYYYYYYYYYYYY,tripppyyyyyyyyyyyy
fantastic,fantast
Dam,dam
Zomg,zomg
woooooooow,woooooooow
Epic,epic
Pit,pit
OMGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGG,omggggggggggggggggggggggggggggggggggggg
FINALLY,final
pit,pit
Dude,dude
Yes,ye
Finally,final
Wowweeeee,wowweeee
nice,nice
чмо,чмо
first,first
Second,second
second,second
